Customer ID,Age,Age Range,Gender,Item Purchased,Category,Purchase Amount (USD),Previous Purchases,Total Purchases,Location,Size,Color,Season,Review Rating,Review Ratings,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchase,Preferred Payment Method,Frequency of Purchases
11,53,45 - 54,Male,Shoes,Footwear,$34 ,26,$884 ,Arkansas,L,Purple,Fall,4.1,4,Yes,Credit Card,Store Pickup,Yes,Yes,Below 30 Purchases,Bank Transfer,Bi-Weekly
12,30,25 - 34,Male,Shorts,Clothing,$68 ,10,$680 ,Hawaii,S,Olive,Winter,4.9,4,Yes,PayPal,Store Pickup,Yes,Yes,Below 20 Purchases,Bank Transfer,Fortnightly
13,61,55+,Male,Coat,Outerwear,$72 ,37,"$2,664 ",Delaware,M,Gold,Winter,4.5,4,Yes,PayPal,Express,Yes,Yes,Below 40 Purchases,Venmo,Fortnightly
14,65,55+,Male,Dress,Clothing,$51 ,31,"$1,581 ",New Hampshire,M,Violet,Spring,4.7,4,Yes,Debit Card,Express,Yes,Yes,Below 40 Purchases,PayPal,Weekly
15,64,55+,Male,Coat,Outerwear,$53 ,34,"$1,802 ",New York,L,Teal,Winter,4.7,4,Yes,PayPal,Free Shipping,Yes,Yes,Below 40 Purchases,Debit Card,Weekly
16,64,55+,Male,Skirt,Clothing,$81 ,8,$648 ,Rhode Island,M,Teal,Winter,2.8,2,Yes,Credit Card,Store Pickup,Yes,Yes,Below 10 Puchases,PayPal,Monthly
17,25,25 - 34,Male,Sunglasses,Accessories,$36 ,44,"$1,584 ",Alabama,S,Gray,Spring,4.1,4,Yes,Venmo,Next Day Air,Yes,Yes,Below 50 Purchases,Debit Card,Bi-Weekly
18,53,45 - 54,Male,Dress,Clothing,$38 ,36,"$1,368 ",Mississippi,XL,Lavender,Winter,4.7,4,Yes,Debit Card,2-Day Shipping,Yes,Yes,Below 40 Purchases,Venmo,Quarterly
19,52,45 - 54,Male,Sweater,Clothing,$48 ,17,$816 ,Montana,S,Black,Summer,4.6,4,Yes,Bank Transfer,Free Shipping,Yes,Yes,Below 20 Purchases,Cash,Weekly
20,66,55+,Male,Pants,Clothing,$90 ,46,"$4,140 ",Rhode Island,M,Green,Summer,3.3,3,Yes,Venmo,Standard,Yes,Yes,Below 50 Purchases,Debit Card,Bi-Weekly
21,21,18 - 24,Male,Pants,Clothing,$51 ,50,"$2,550 ",Louisiana,M,Black,Winter,2.8,2,Yes,Credit Card,Express,Yes,Yes,Over 50 Purchases,Cash,Quarterly
22,31,25 - 34,Male,Pants,Clothing,$62 ,22,"$1,364 ",North Carolina,M,Charcoal,Winter,4.1,4,Yes,Credit Card,Store Pickup,Yes,Yes,Below 30 Purchases,Debit Card,Quarterly
23,56,55+,Male,Pants,Clothing,$37 ,32,"$1,184 ",California,M,Peach,Summer,3.2,3,Yes,Cash,Store Pickup,Yes,Yes,Below 40 Purchases,Debit Card,Annually
24,31,25 - 34,Male,Pants,Clothing,$88 ,40,"$3,520 ",Oklahoma,XL,White,Winter,4.4,4,Yes,Credit Card,Express,Yes,Yes,Below 50 Purchases,Credit Card,Weekly
25,18,18 - 24,Male,Jacket,Outerwear,$22 ,16,$352 ,Florida,M,Green,Fall,2.9,2,Yes,Cash,Store Pickup,Yes,Yes,Below 20 Purchases,Debit Card,Weekly
26,18,18 - 24,Male,Hoodie,Clothing,$25 ,14,$350 ,Texas,M,Silver,Summer,3.6,3,Yes,Bank Transfer,Express,Yes,Yes,Below 20 Purchases,PayPal,Annually
27,38,35 - 44,Male,Jewelry,Accessories,$20 ,13,$260 ,Nevada,M,Red,Spring,3.6,3,Yes,Cash,Next Day Air,Yes,Yes,Below 20 Purchases,Credit Card,Annually
28,56,55+,Male,Shorts,Clothing,$56 ,7,$392 ,Kentucky,L,Cyan,Summer,5,5,Yes,Debit Card,Next Day Air,Yes,Yes,Below 10 Puchases,Bank Transfer,Quarterly
29,54,45 - 54,Male,Handbag,Accessories,$94 ,41,"$3,854 ",North Carolina,M,Gray,Fall,4.4,4,Yes,Debit Card,Free Shipping,Yes,Yes,Below 50 Purchases,PayPal,Quarterly
30,31,25 - 34,Male,Dress,Clothing,$48 ,14,$672 ,Wyoming,S,Black,Fall,4.1,4,Yes,Venmo,Store Pickup,Yes,Yes,Below 20 Purchases,Credit Card,Weekly
31,57,55+,Male,Jewelry,Accessories,$31 ,16,$496 ,North Carolina,L,Black,Winter,4.7,4,Yes,Bank Transfer,Standard,Yes,Yes,Below 20 Purchases,Credit Card,Monthly
32,33,25 - 34,Male,Dress,Clothing,$79 ,45,"$3,555 ",West Virginia,L,Brown,Winter,4.7,4,Yes,Venmo,Store Pickup,Yes,Yes,Below 50 Purchases,Venmo,Monthly
33,36,35 - 44,Male,Jacket,Outerwear,$67 ,37,"$2,479 ",Kansas,M,Silver,Summer,4.9,4,Yes,Bank Transfer,Free Shipping,Yes,Yes,Below 40 Purchases,Venmo,Annually
34,54,45 - 54,Male,Pants,Clothing,$38 ,45,"$1,710 ",Colorado,L,Green,Summer,3.3,3,Yes,Venmo,Store Pickup,Yes,Yes,Below 50 Purchases,Cash,Quarterly
35,36,35 - 44,Male,T-shirt,Clothing,$91 ,38,"$3,458 ",North Dakota,L,Violet,Spring,4.6,4,Yes,Debit Card,2-Day Shipping,Yes,Yes,Below 40 Purchases,PayPal,Quarterly
36,54,45 - 54,Male,Blouse,Clothing,$33 ,48,"$1,584 ",Massachusetts,M,Cyan,Summer,4,4,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,Below 50 Purchases,Credit Card,Bi-Weekly
37,35,35 - 44,Male,T-shirt,Clothing,$69 ,44,"$3,036 ",Illinois,M,Maroon,Winter,4.6,4,Yes,Cash,Free Shipping,Yes,Yes,Below 50 Purchases,PayPal,Fortnightly
38,35,35 - 44,Male,Jeans,Clothing,$45 ,10,$450 ,Indiana,S,Cyan,Summer,2.8,2,Yes,Debit Card,Store Pickup,Yes,Yes,Below 20 Purchases,PayPal,Weekly
39,29,25 - 34,Male,Dress,Clothing,$37 ,44,"$1,628 ",Florida,M,Red,Winter,3.7,3,Yes,Debit Card,2-Day Shipping,Yes,Yes,Below 50 Purchases,Venmo,Quarterly
40,70,55+,Male,Pants,Clothing,$60 ,18,"$1,080 ",Arizona,S,Turquoise,Summer,4.2,4,Yes,Bank Transfer,Express,Yes,Yes,Below 20 Purchases,Credit Card,Monthly
41,69,55+,Male,Handbag,Accessories,$76 ,31,"$2,356 ",Louisiana,L,Beige,Winter,4.6,4,Yes,PayPal,Next Day Air,Yes,Yes,Below 40 Purchases,Debit Card,Quarterly
42,67,55+,Male,Scarf,Accessories,$39 ,40,"$1,560 ",Alaska,M,Orange,Spring,4.5,4,Yes,Cash,Standard,Yes,Yes,Below 50 Purchases,Venmo,Annually
43,20,18 - 24,Male,Coat,Outerwear,$100 ,15,"$1,500 ",Tennessee,M,Beige,Spring,4.1,4,Yes,Bank Transfer,Free Shipping,Yes,Yes,Below 20 Purchases,PayPal,Annually
44,25,25 - 34,Male,Scarf,Accessories,$69 ,19,"$1,311 ",Ohio,L,Lavender,Fall,3.7,3,Yes,PayPal,Store Pickup,Yes,Yes,Below 20 Purchases,PayPal,Fortnightly
45,39,35 - 44,Male,Hat,Accessories,$53 ,45,"$2,385 ",Kentucky,S,Silver,Summer,4.6,4,Yes,Bank Transfer,Free Shipping,Yes,Yes,Below 50 Purchases,PayPal,Weekly
46,50,45 - 54,Male,Socks,Clothing,$21 ,25,$525 ,Tennessee,XL,Indigo,Fall,2.9,2,Yes,Venmo,2-Day Shipping,Yes,Yes,Below 30 Purchases,PayPal,Annually
47,57,55+,Male,Shirt,Clothing,$43 ,45,"$1,935 ",California,L,White,Summer,2.9,2,Yes,Venmo,Store Pickup,Yes,Yes,Below 50 Purchases,Cash,Quarterly
48,55,55+,Male,Jewelry,Accessories,$54 ,36,"$1,944 ",Montana,M,Charcoal,Winter,4.5,4,Yes,Debit Card,Free Shipping,Yes,Yes,Below 40 Purchases,Cash,Weekly
49,42,35 - 44,Male,Shirt,Clothing,$55 ,38,"$2,090 ",Nevada,M,Orange,Summer,2.7,2,Yes,Debit Card,Store Pickup,Yes,Yes,Below 40 Purchases,Cash,Monthly
50,68,55+,Male,Hoodie,Clothing,$30 ,34,"$1,020 ",New Jersey,S,Indigo,Spring,4.6,4,Yes,Bank Transfer,Next Day Air,Yes,Yes,Below 40 Purchases,Debit Card,Bi-Weekly
51,49,45 - 54,Male,Blouse,Clothing,$28 ,39,"$1,092 ",Maryland,M,Red,Spring,3.7,3,Yes,Cash,Store Pickup,Yes,Yes,Below 40 Purchases,Debit Card,Bi-Weekly
52,59,55+,Male,Skirt,Clothing,$59 ,7,$413 ,Vermont,XL,Gray,Winter,4.7,4,Yes,PayPal,2-Day Shipping,Yes,Yes,Below 10 Puchases,Credit Card,Quarterly
53,42,35 - 44,Male,T-shirt,Clothing,$20 ,26,$520 ,Alaska,M,Green,Summer,2.6,2,Yes,Credit Card,Free Shipping,Yes,Yes,Below 30 Purchases,Credit Card,Weekly
54,29,25 - 34,Male,Skirt,Clothing,$24 ,35,$840 ,Mississippi,S,Peach,Winter,3.9,3,Yes,Debit Card,Next Day Air,Yes,Yes,Below 40 Purchases,Credit Card,Weekly
55,47,45 - 54,Male,Coat,Outerwear,$94 ,35,"$3,290 ",New Mexico,M,Brown,Summer,4.2,4,Yes,Bank Transfer,Next Day Air,Yes,Yes,Below 40 Purchases,Debit Card,Bi-Weekly
56,40,35 - 44,Male,Jacket,Outerwear,$28 ,49,"$1,372 ",South Carolina,M,Lavender,Winter,3,3,Yes,Venmo,2-Day Shipping,Yes,Yes,Below 50 Purchases,Credit Card,Annually
57,41,35 - 44,Male,Backpack,Accessories,$73 ,46,"$3,358 ",Mississippi,XL,Brown,Summer,4.7,4,Yes,PayPal,Store Pickup,Yes,Yes,Below 50 Purchases,Credit Card,Weekly
58,21,18 - 24,Male,Coat,Outerwear,$64 ,17,"$1,088 ",West Virginia,M,White,Summer,4.4,4,Yes,PayPal,Store Pickup,Yes,Yes,Below 20 Purchases,Debit Card,Fortnightly
59,69,55+,Male,Hoodie,Clothing,$54 ,29,"$1,566 ",Missouri,M,Charcoal,Summer,4.2,4,Yes,Credit Card,Free Shipping,Yes,Yes,Below 30 Purchases,Venmo,Monthly
60,63,55+,Male,Belt,Accessories,$79 ,4,$316 ,Louisiana,L,Yellow,Spring,4.6,4,Yes,Debit Card,Standard,Yes,Yes,Below 10 Puchases,Debit Card,Weekly
61,50,45 - 54,Male,Sweater,Clothing,$37 ,17,$629 ,Idaho,L,Brown,Summer,4,4,Yes,Credit Card,Express,Yes,Yes,Below 20 Purchases,Cash,Weekly
62,55,55+,Male,Scarf,Accessories,$68 ,21,"$1,428 ",Texas,M,Orange,Winter,4.7,4,Yes,Bank Transfer,Store Pickup,Yes,Yes,Below 30 Purchases,Credit Card,Quarterly
63,30,25 - 34,Male,Sneakers,Footwear,$21 ,31,$651 ,Mississippi,S,Magenta,Spring,3.8,3,Yes,Credit Card,Free Shipping,Yes,Yes,Below 40 Purchases,Credit Card,Fortnightly
64,33,25 - 34,Male,Sunglasses,Accessories,$79 ,43,"$3,397 ",Arizona,L,Lavender,Winter,2.7,2,Yes,Credit Card,2-Day Shipping,Yes,Yes,Below 50 Purchases,Credit Card,Weekly
65,65,55+,Male,Boots,Footwear,$83 ,18,"$1,494 ",Alabama,S,Green,Fall,4.8,4,Yes,PayPal,Standard,Yes,Yes,Below 20 Purchases,Debit Card,Fortnightly
66,65,55+,Male,Backpack,Accessories,$36 ,44,"$1,584 ",New Jersey,M,Purple,Spring,4.8,4,Yes,Credit Card,2-Day Shipping,Yes,Yes,Below 50 Purchases,Venmo,Quarterly
67,31,25 - 34,Male,Blouse,Clothing,$94 ,3,$282 ,Pennsylvania,S,Magenta,Winter,4.7,4,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,Below 10 Puchases,Venmo,Quarterly
68,45,45 - 54,Male,Coat,Outerwear,$33 ,49,"$1,617 ",Connecticut,L,Gray,Winter,4.4,4,Yes,PayPal,Store Pickup,Yes,Yes,Below 50 Purchases,Debit Card,Monthly
69,57,55+,Male,Handbag,Accessories,$46 ,21,$966 ,Utah,L,Silver,Summer,3.9,3,Yes,Credit Card,Next Day Air,Yes,Yes,Below 30 Purchases,Cash,Quarterly
70,48,45 - 54,Male,Belt,Accessories,$70 ,5,$350 ,Tennessee,S,Cyan,Summer,4.4,4,Yes,Credit Card,Express,Yes,Yes,Below 10 Puchases,Cash,Weekly
71,22,18 - 24,Male,Belt,Accessories,$29 ,32,$928 ,Alabama,M,Magenta,Fall,4.2,4,Yes,Credit Card,Express,Yes,Yes,Below 40 Purchases,Debit Card,Quarterly
72,36,35 - 44,Male,Dress,Clothing,$48 ,34,"$1,632 ",Virginia,L,Gold,Summer,2.9,2,Yes,Debit Card,Express,Yes,Yes,Below 40 Purchases,Bank Transfer,Annually
73,18,18 - 24,Male,Dress,Clothing,$26 ,21,$546 ,Georgia,M,Olive,Winter,2.9,2,Yes,Debit Card,Store Pickup,Yes,Yes,Below 30 Purchases,Bank Transfer,Quarterly
74,48,45 - 54,Male,Pants,Clothing,$85 ,43,"$3,655 ",Hawaii,M,Teal,Spring,2.7,2,Yes,Debit Card,Free Shipping,Yes,Yes,Below 50 Purchases,Bank Transfer,Bi-Weekly
75,49,45 - 54,Male,Gloves,Accessories,$58 ,3,$174 ,Indiana,L,Violet,Spring,4.5,4,Yes,PayPal,Express,Yes,Yes,Below 10 Puchases,Cash,Monthly
76,64,55+,Male,Scarf,Accessories,$85 ,21,"$1,785 ",Utah,M,Blue,Summer,2.7,2,Yes,Debit Card,Free Shipping,Yes,Yes,Below 30 Purchases,Credit Card,Annually
77,50,45 - 54,Male,Hat,Accessories,$43 ,32,"$1,376 ",Delaware,S,Teal,Summer,4.2,4,Yes,Bank Transfer,Free Shipping,Yes,Yes,Below 40 Purchases,Venmo,Monthly
78,22,18 - 24,Male,Dress,Clothing,$53 ,36,"$1,908 ",Delaware,L,Gold,Summer,3.3,3,Yes,Debit Card,Next Day Air,Yes,Yes,Below 40 Purchases,Debit Card,Fortnightly
79,50,45 - 54,Male,Skirt,Clothing,$91 ,50,"$4,550 ",Nebraska,M,Maroon,Spring,4.7,4,Yes,Venmo,Free Shipping,Yes,Yes,Over 50 Purchases,Venmo,Fortnightly
80,38,35 - 44,Male,Jacket,Outerwear,$96 ,43,"$4,128 ",Iowa,M,Olive,Winter,2.6,2,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,Below 50 Purchases,Bank Transfer,Quarterly
81,19,18 - 24,Male,Sandals,Footwear,$72 ,24,"$1,728 ",New York,XL,Blue,Summer,3.3,3,Yes,Credit Card,Store Pickup,Yes,Yes,Below 30 Purchases,Credit Card,Quarterly
82,67,55+,Male,Shoes,Footwear,$96 ,36,"$3,456 ",Virginia,L,Maroon,Summer,2.6,2,Yes,PayPal,Express,Yes,Yes,Below 40 Purchases,Credit Card,Quarterly
83,19,18 - 24,Male,Pants,Clothing,$28 ,21,$588 ,Georgia,S,Olive,Spring,4,4,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,Below 30 Purchases,Credit Card,Quarterly
84,36,35 - 44,Male,Dress,Clothing,$40 ,34,"$1,360 ",Texas,M,Turquoise,Summer,4.1,4,Yes,Debit Card,Standard,Yes,Yes,Below 40 Purchases,Bank Transfer,Weekly
85,52,45 - 54,Male,Coat,Outerwear,$32 ,42,"$1,344 ",Arizona,S,Peach,Spring,4.4,4,Yes,Cash,Standard,Yes,Yes,Below 50 Purchases,Bank Transfer,Quarterly
86,53,45 - 54,Male,Sunglasses,Accessories,$95 ,2,$190 ,New Mexico,M,Charcoal,Winter,4.5,4,Yes,Credit Card,Next Day Air,Yes,Yes,Below 10 Puchases,Debit Card,Bi-Weekly
87,24,18 - 24,Male,Hoodie,Clothing,$41 ,47,"$1,927 ",Nevada,L,Pink,Spring,3.7,3,Yes,Venmo,2-Day Shipping,Yes,Yes,Below 50 Purchases,Cash,Bi-Weekly
88,52,45 - 54,Male,Shoes,Footwear,$53 ,44,"$2,332 ",Ohio,M,Green,Fall,3.7,3,Yes,Debit Card,2-Day Shipping,Yes,Yes,Below 50 Purchases,Debit Card,Fortnightly
89,33,25 - 34,Male,T-shirt,Clothing,$47 ,35,"$1,645 ",Wyoming,M,Orange,Fall,3.5,3,Yes,Credit Card,Free Shipping,Yes,Yes,Below 40 Purchases,Credit Card,Monthly
90,47,45 - 54,Male,Jacket,Outerwear,$83 ,15,"$1,245 ",California,XL,Pink,Fall,3.6,3,Yes,Bank Transfer,Next Day Air,Yes,Yes,Below 20 Purchases,Cash,Quarterly
91,25,25 - 34,Male,Hat,Accessories,$48 ,29,"$1,392 ",South Carolina,L,Violet,Summer,2.9,2,Yes,Venmo,Express,Yes,Yes,Below 30 Purchases,Credit Card,Monthly
92,44,35 - 44,Male,Scarf,Accessories,$99 ,18,"$1,782 ",South Carolina,S,Green,Winter,4.6,4,Yes,PayPal,Standard,Yes,Yes,Below 20 Purchases,Credit Card,Quarterly
93,61,55+,Male,Jacket,Outerwear,$87 ,13,"$1,131 ",Texas,M,Olive,Winter,4.4,4,Yes,Cash,2-Day Shipping,Yes,Yes,Below 20 Purchases,Venmo,Quarterly
94,37,35 - 44,Male,Sweater,Clothing,$62 ,46,"$2,852 ",Florida,M,Purple,Fall,4.5,4,Yes,PayPal,Standard,Yes,Yes,Below 50 Purchases,Credit Card,Weekly
95,58,55+,Male,Skirt,Clothing,$76 ,28,"$2,128 ",Nevada,S,Silver,Spring,4.6,4,Yes,Bank Transfer,Free Shipping,Yes,Yes,Below 30 Purchases,Credit Card,Weekly
96,37,35 - 44,Male,Sneakers,Footwear,$100 ,48,"$4,800 ",Missouri,L,Pink,Fall,3.8,3,Yes,PayPal,Free Shipping,Yes,Yes,Below 50 Purchases,PayPal,Monthly
97,32,25 - 34,Male,Gloves,Accessories,$73 ,43,"$3,139 ",Delaware,S,Gold,Spring,3.6,3,Yes,Venmo,Express,Yes,Yes,Below 50 Purchases,Venmo,Quarterly
98,21,18 - 24,Male,Shoes,Footwear,$92 ,37,"$3,404 ",Virginia,M,Teal,Winter,4.8,4,Yes,PayPal,Store Pickup,Yes,Yes,Below 40 Purchases,Cash,Annually
99,20,18 - 24,Male,Jeans,Clothing,$67 ,20,"$1,340 ",New York,XL,Teal,Spring,2.6,2,Yes,Cash,Next Day Air,Yes,Yes,Below 30 Purchases,Bank Transfer,Annually
100,26,25 - 34,Male,Hoodie,Clothing,$40 ,33,"$1,320 ",Missouri,XL,Indigo,Summer,3.7,3,Yes,Cash,Express,Yes,Yes,Below 40 Purchases,Debit Card,Quarterly
101,62,55+,Male,Sunglasses,Accessories,$98 ,31,"$3,038 ",South Dakota,M,Maroon,Fall,2.7,2,Yes,PayPal,Express,Yes,Yes,Below 40 Purchases,Cash,Fortnightly
102,27,25 - 34,Male,Coat,Outerwear,$85 ,50,"$4,250 ",North Dakota,XL,White,Spring,4.6,4,Yes,Venmo,Express,Yes,Yes,Over 50 Purchases,Credit Card,Bi-Weekly
103,51,45 - 54,Male,Socks,Clothing,$67 ,35,"$2,345 ",Oklahoma,L,Violet,Winter,4.8,4,Yes,Credit Card,Next Day Air,Yes,Yes,Below 40 Purchases,Credit Card,Quarterly
104,54,45 - 54,Male,Boots,Footwear,$89 ,22,"$1,958 ",West Virginia,L,Red,Winter,4,4,Yes,Debit Card,Next Day Air,Yes,Yes,Below 30 Purchases,Venmo,Bi-Weekly
105,55,55+,Male,Sunglasses,Accessories,$24 ,1,$24 ,New Hampshire,L,Pink,Spring,4.4,4,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,Below 10 Puchases,PayPal,Monthly
106,69,55+,Male,Backpack,Accessories,$96 ,4,$384 ,New York,M,Charcoal,Fall,3.6,3,Yes,Bank Transfer,Next Day Air,Yes,Yes,Below 10 Puchases,Bank Transfer,Annually
107,64,55+,Male,Jacket,Outerwear,$35 ,31,"$1,085 ",Minnesota,L,White,Summer,3.7,3,Yes,Cash,Standard,Yes,Yes,Below 40 Purchases,Credit Card,Monthly
108,28,25 - 34,Male,Sneakers,Footwear,$67 ,46,"$3,082 ",Maryland,L,Olive,Winter,3.1,3,Yes,Cash,Next Day Air,Yes,Yes,Below 50 Purchases,PayPal,Fortnightly
109,70,55+,Male,Socks,Clothing,$79 ,32,"$2,528 ",Montana,L,Purple,Spring,3.4,3,Yes,Bank Transfer,Next Day Air,Yes,Yes,Below 40 Purchases,Bank Transfer,Bi-Weekly
110,58,55+,Male,T-shirt,Clothing,$85 ,43,"$3,655 ",Alabama,M,Violet,Spring,2.6,2,Yes,Cash,Next Day Air,Yes,Yes,Below 50 Purchases,Bank Transfer,Fortnightly
111,56,55+,Male,Backpack,Accessories,$26 ,26,$676 ,New York,M,Black,Summer,4,4,Yes,Bank Transfer,Standard,Yes,Yes,Below 30 Purchases,Venmo,Fortnightly
112,26,25 - 34,Male,Belt,Accessories,$75 ,9,$675 ,Massachusetts,L,Purple,Summer,5,5,Yes,PayPal,Free Shipping,Yes,Yes,Below 10 Puchases,Credit Card,Annually
113,37,35 - 44,Male,Gloves,Accessories,$65 ,28,"$1,820 ",Florida,M,Red,Spring,4.3,4,Yes,Credit Card,Free Shipping,Yes,Yes,Below 30 Purchases,PayPal,Bi-Weekly
114,44,35 - 44,Male,Hat,Accessories,$54 ,20,"$1,080 ",New Jersey,L,Maroon,Winter,3.1,3,Yes,Debit Card,Next Day Air,Yes,Yes,Below 30 Purchases,PayPal,Quarterly
115,70,55+,Male,Coat,Outerwear,$95 ,9,$855 ,Massachusetts,S,Blue,Summer,3.7,3,Yes,Venmo,Store Pickup,Yes,Yes,Below 10 Puchases,Cash,Weekly
116,53,45 - 54,Male,Skirt,Clothing,$94 ,48,"$4,512 ",Wyoming,M,Gray,Spring,3.8,3,Yes,Cash,Standard,Yes,Yes,Below 50 Purchases,Debit Card,Quarterly
117,55,55+,Male,Shoes,Footwear,$86 ,12,"$1,032 ",Virginia,S,Blue,Spring,3.4,3,Yes,PayPal,Free Shipping,Yes,Yes,Below 20 Purchases,Venmo,Annually
118,50,45 - 54,Male,Sandals,Footwear,$32 ,29,$928 ,South Dakota,L,Yellow,Summer,4.6,4,Yes,Bank Transfer,Express,Yes,Yes,Below 30 Purchases,Cash,Fortnightly
119,50,45 - 54,Male,Sweater,Clothing,$45 ,27,"$1,215 ",Kentucky,L,Orange,Fall,4.8,4,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,Below 30 Purchases,Cash,Bi-Weekly
120,38,35 - 44,Male,Coat,Outerwear,$76 ,44,"$3,344 ",Wyoming,M,Orange,Fall,4.3,4,Yes,Debit Card,Express,Yes,Yes,Below 50 Purchases,Cash,Annually
121,64,55+,Male,Hat,Accessories,$84 ,32,"$2,688 ",West Virginia,L,Red,Summer,4,4,Yes,PayPal,Express,Yes,Yes,Below 40 Purchases,Bank Transfer,Annually
122,19,18 - 24,Male,Shorts,Clothing,$72 ,11,$792 ,Virginia,M,Olive,Winter,4.2,4,Yes,Cash,Standard,Yes,Yes,Below 20 Purchases,Cash,Fortnightly
123,40,35 - 44,Male,Backpack,Accessories,$40 ,44,"$1,760 ",Washington,L,Brown,Spring,4.8,4,Yes,Credit Card,2-Day Shipping,Yes,Yes,Below 50 Purchases,Cash,Fortnightly
124,57,55+,Male,Sweater,Clothing,$89 ,46,"$4,094 ",Louisiana,L,Brown,Fall,3.1,3,Yes,Debit Card,Free Shipping,Yes,Yes,Below 50 Purchases,Cash,Weekly
125,44,35 - 44,Male,Sweater,Clothing,$86 ,50,"$4,300 ",Nevada,M,Gray,Spring,3.1,3,Yes,PayPal,Next Day Air,Yes,Yes,Over 50 Purchases,PayPal,Annually
126,49,45 - 54,Male,Shorts,Clothing,$54 ,45,"$2,430 ",California,M,Indigo,Winter,3.6,3,Yes,Cash,Next Day Air,Yes,Yes,Below 50 Purchases,Venmo,Quarterly
127,43,35 - 44,Male,Shorts,Clothing,$36 ,48,"$1,728 ",Mississippi,L,Pink,Spring,3.9,3,Yes,Bank Transfer,Store Pickup,Yes,Yes,Below 50 Purchases,Cash,Quarterly
128,24,18 - 24,Male,Sweater,Clothing,$89 ,26,"$2,314 ",Mississippi,M,Gray,Winter,4.8,4,Yes,Venmo,Next Day Air,Yes,Yes,Below 30 Purchases,Credit Card,Weekly
129,20,18 - 24,Male,Scarf,Accessories,$32 ,21,$672 ,California,M,Gold,Spring,4.7,4,Yes,Venmo,Standard,Yes,Yes,Below 30 Purchases,Credit Card,Fortnightly
130,24,18 - 24,Male,Dress,Clothing,$67 ,49,"$3,283 ",Pennsylvania,XL,Olive,Summer,4.2,4,Yes,Cash,2-Day Shipping,Yes,Yes,Below 50 Purchases,PayPal,Bi-Weekly
131,44,35 - 44,Male,Scarf,Accessories,$39 ,13,$507 ,Kentucky,L,Violet,Fall,3.7,3,Yes,Credit Card,Next Day Air,Yes,Yes,Below 20 Purchases,PayPal,Fortnightly
132,28,25 - 34,Male,Skirt,Clothing,$29 ,46,"$1,334 ",Maine,L,Indigo,Summer,3.9,3,Yes,PayPal,Standard,Yes,Yes,Below 50 Purchases,Credit Card,Weekly
133,30,25 - 34,Male,Backpack,Accessories,$58 ,42,"$2,436 ",New Mexico,M,Orange,Fall,4.7,4,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,Below 50 Purchases,PayPal,Weekly
